product_id,product_name,category,price,stock
1,iPhone 15,Electronics,75000.00,50
2,MacBook Air M2,Electronics,120000.00,30
3,Sony WH-1000XM5 Earbuds,Electronics,8500.00,100
4,Samsung Galaxy S23,Electronics,65000.00,45
5,Dell XPS 15 Laptop,Electronics,110000.00,25
6,iPad Pro 12.9,Electronics,90000.00,35
7,OnePlus 11 5G,Electronics,55000.00,60
8,Boat Rockerz 450,Electronics,1500.00,200
9,Mi Smart TV 43,Electronics,28000.00,40
10,Canon EOS R50 Camera,Electronics,55000.00,15
11,Office Chair ErgoMax,Furniture,12000.00,20
12,Study Table Wooden,Furniture,8500.00,18
13,Bookshelf 5 Tier,Furniture,5500.00,22
14,Standing Desk,Furniture,18000.00,10
15,Bean Bag XL,Furniture,3500.00,35
16,Notebook Pack 6,Stationery,350.00,500
17,Pen Set Parker,Stationery,1200.00,300
18,Sticky Notes Multicolor,Stationery,120.00,800
19,A4 Printer Paper 500,Stationery,450.00,400
20,Whiteboard 3x2ft,Stationery,2200.00,50
21,Nike Air Max Shoes,Fashion,7500.00,80
22,Levi's 511 Jeans,Fashion,3500.00,120
23,Allen Solly Shirt,Fashion,1800.00,150
24,Puma Running Shoes,Fashion,5000.00,90
25,Adidas Track Pants,Fashion,2200.00,100
26,The Alchemist Book,Books,350.00,200
27,Atomic Habits Book,Books,450.00,180
28,Rich Dad Poor Dad,Books,299.00,220
29,Deep Work Book,Books,499.00,160
30,SQL for Dummies,Books,650.00,140
